ad_id,date,utm_medium,utm_campain,cost
ffe453a2f8,2026-04-22,display,facebook_feed_campaign_6,29.65
ff74d80edc,2026-04-22,cpc,facebook_feed_campaign_3,49.29
fsc1ad2f18,2026-04-22,shopping,facebook_stories_campaign_7,41.12
fs9f528f37,2026-04-23,cpc,facebook_stories_campaign_3,30.78
fs48fc3769,2026-04-23,cpc,facebook_stories_campaign_1,55.33
fv3916ae56,2026-04-23,cpc,facebook_video_campaign_6,54.03
fs95512219,2026-04-24,cpc,facebook_stories_campaign_8,50.21
fffe5f6d6c,2026-04-24,video,facebook_feed_campaign_7,55.17
ffc41d8f45,2026-04-24,display,facebook_feed_campaign_2,33.33
fvcec2346a,2026-04-25,video,facebook_video_campaign_8,26.47
ff986c3235,2026-04-25,display,facebook_feed_campaign_7,44.64
ffcc4a31e2,2026-04-25,video,facebook_feed_campaign_4,55.34
ff16205e46,2026-04-26,social,facebook_feed_campaign_8,28.66
fs8b65b6f5,2026-04-26,display,facebook_stories_campaign_7,44.03
fs76b8234e,2026-04-26,video,facebook_stories_campaign_9,27.0
fv36d811cd,2026-04-27,cpc,facebook_video_campaign_9,36.34
fv948335be,2026-04-27,cpc,facebook_video_campaign_5,24.71
fsd9870d75,2026-04-27,display,facebook_stories_campaign_4,27.27
fv4ed2f156,2026-04-28,shopping,facebook_video_campaign_7,48.43
fs21ad900f,2026-04-28,shopping,facebook_stories_campaign_9,37.32
fv3ba275cd,2026-04-28,shopping,facebook_video_campaign_1,28.28
ffdb4f1bd1,2026-04-29,display,facebook_feed_campaign_10,35.45
fv4cf2d2c9,2026-04-29,shopping,facebook_video_campaign_7,10.55
fv908d37c3,2026-04-29,social,facebook_video_campaign_1,54.53
ff4cf38105,2026-04-30,shopping,facebook_feed_campaign_1,29.81
fs19dfdc39,2026-04-30,display,facebook_stories_campaign_2,39.65
fvaaba810e,2026-04-30,shopping,facebook_video_campaign_1,26.54
fse724b13e,2026-05-01,cpc,facebook_stories_campaign_1,31.32
fs957477a5,2026-05-01,social,facebook_stories_campaign_10,44.46
fvd06cbbab,2026-05-01,display,facebook_video_campaign_2,30.5
fvfe7ee943,2026-05-02,social,facebook_video_campaign_7,31.85
fv83943cca,2026-05-02,video,facebook_video_campaign_10,31.3
fs8669fa73,2026-05-02,video,facebook_stories_campaign_3,50.9
fve603e9d2,2026-05-03,display,facebook_video_campaign_4,24.09
ffff896ac9,2026-05-03,cpc,facebook_feed_campaign_3,29.66
fsa5892c27,2026-05-03,social,facebook_stories_campaign_10,38.79
fv4e0a1cde,2026-05-04,shopping,facebook_video_campaign_8,46.19
fsf6032f58,2026-05-04,shopping,facebook_stories_campaign_6,52.66
fs5faee6ba,2026-05-04,display,facebook_stories_campaign_2,48.81
fva9f2e07b,2026-05-05,cpc,facebook_video_campaign_6,39.55
ff66023ddc,2026-05-05,shopping,facebook_feed_campaign_5,47.46
fvf35ac62e,2026-05-05,shopping,facebook_video_campaign_2,41.04
fs4a32843d,2026-05-06,social,facebook_stories_campaign_7,44.74
fs1841be66,2026-05-06,social,facebook_stories_campaign_9,36.95
ff101df4ac,2026-05-06,shopping,facebook_feed_campaign_9,31.4
fvddb067fc,2026-05-07,social,facebook_video_campaign_5,55.03
ff548c2f24,2026-05-07,shopping,facebook_feed_campaign_8,49.85
fs964885e9,2026-05-07,shopping,facebook_stories_campaign_6,40.63
fvf8deaa39,2026-05-08,social,facebook_video_campaign_6,51.99
fv953ef8ad,2026-05-08,display,facebook_video_campaign_1,39.88
fv6f6687aa,2026-05-08,social,facebook_video_campaign_2,43.37
fs1c195c37,2026-05-09,video,facebook_stories_campaign_6,25.94
fvf7b381b7,2026-05-09,display,facebook_video_campaign_3,50.96
ffc84da0bb,2026-05-09,shopping,facebook_feed_campaign_10,54.48
ff70b39e3a,2026-05-10,social,facebook_feed_campaign_2,46.77
fsafd2a714,2026-05-10,social,facebook_stories_campaign_7,25.13
ff84f1f546,2026-05-10,shopping,facebook_feed_campaign_3,54.82
fffa39c3ba,2026-05-11,shopping,facebook_feed_campaign_4,49.45
fs8e766255,2026-05-11,video,facebook_stories_campaign_2,52.78
ffab6aebac,2026-05-11,video,facebook_feed_campaign_8,39.41
fv358188ca,2026-05-12,video,facebook_video_campaign_9,36.3
fff8a1c725,2026-05-12,video,facebook_feed_campaign_4,44.31
ff08859d05,2026-05-12,social,facebook_feed_campaign_5,27.09
fseff03aaa,2026-05-13,shopping,facebook_stories_campaign_5,25.98
ff1849c687,2026-05-13,social,facebook_feed_campaign_10,43.33
fs143eac27,2026-05-13,shopping,facebook_stories_campaign_10,36.11
ff041f0027,2026-05-14,video,facebook_feed_campaign_1,33.44
fvbbb991e3,2026-05-14,shopping,facebook_video_campaign_4,42.02
fffba0a38e,2026-05-14,display,facebook_feed_campaign_5,29.83
fsb4c4ae45,2026-05-15,shopping,facebook_stories_campaign_4,47.34
ff4b4a30f3,2026-05-15,cpc,facebook_feed_campaign_5,26.02
fv1864e775,2026-05-15,cpc,facebook_video_campaign_5,37.02
fs04b372da,2026-05-16,shopping,facebook_stories_campaign_4,24.03
fvf44c2007,2026-05-16,social,facebook_video_campaign_2,47.47
fvcb701b22,2026-05-16,cpc,facebook_video_campaign_5,29.12
fv29064b5b,2026-05-17,cpc,facebook_video_campaign_3,26.88
ff2f4f680b,2026-05-17,cpc,facebook_feed_campaign_2,40.53
ff356b2de1,2026-05-17,video,facebook_feed_campaign_6,49.74
fs811f0067,2026-05-18,social,facebook_stories_campaign_3,53.35
ffb02c1170,2026-05-18,shopping,facebook_feed_campaign_3,29.59
fsba30913c,2026-05-18,cpc,facebook_stories_campaign_5,34.06
fsa92319ba,2026-05-19,cpc,facebook_stories_campaign_4,26.14
fvb5751097,2026-05-19,cpc,facebook_video_campaign_5,48.02
ff1aced35b,2026-05-19,video,facebook_feed_campaign_1,55.15
ffcc3aaac0,2026-05-20,cpc,facebook_feed_campaign_7,31.77
ff61d43987,2026-05-20,video,facebook_feed_campaign_8,23.24
ffc7703d74,2026-05-20,shopping,facebook_feed_campaign_6,51.78
ffb53593bf,2026-05-21,video,facebook_feed_campaign_6,44.42
fs2359549c,2026-05-21,social,facebook_stories_campaign_5,33.44
fs1f6faaf0,2026-05-21,social,facebook_stories_campaign_6,34.06
fv39f5ab97,2026-05-22,video,facebook_video_campaign_8,51.1
ff7d547a32,2026-05-22,display,facebook_feed_campaign_8,24.23
fv7fa331c7,2026-05-22,shopping,facebook_video_campaign_7,35.21
ff20b93dc9,2026-05-23,social,facebook_feed_campaign_4,17.9
fvd6747fa5,2026-05-23,cpc,facebook_video_campaign_3,51.93
fs4d40a068,2026-05-23,cpc,facebook_stories_campaign_1,48.35
ff263e7617,2026-05-24,video,facebook_feed_campaign_1,30.39
ff9a614e7c,2026-05-24,display,facebook_feed_campaign_8,45.02
ff8ebfba9f,2026-05-24,social,facebook_feed_campaign_3,42.74
fv3e433c83,2026-05-25,social,facebook_video_campaign_6,41.3
fs7a4ca234,2026-05-25,social,facebook_stories_campaign_8,43.26
ffd0401ac5,2026-05-25,shopping,facebook_feed_campaign_4,29.85
fff16f422b,2026-05-26,video,facebook_feed_campaign_1,51.14
fs109b53ef,2026-05-26,social,facebook_stories_campaign_10,25.42
fscfd87f64,2026-05-26,display,facebook_stories_campaign_10,51.24
ff4e82405d,2026-05-27,cpc,facebook_feed_campaign_9,46.41
fv21fe257e,2026-05-27,video,facebook_video_campaign_5,49.73
ff6942424b,2026-05-27,display,facebook_feed_campaign_3,33.81
ff71c0e6d7,2026-05-28,video,facebook_feed_campaign_4,51.6
fsbbec5625,2026-05-28,social,facebook_stories_campaign_5,28.86
fs1ea975ea,2026-05-28,shopping,facebook_stories_campaign_2,39.98
fs2924f0f6,2026-05-29,video,facebook_stories_campaign_7,48.83
fsdbe9d4f6,2026-05-29,shopping,facebook_stories_campaign_1,41.15
fs38be038f,2026-05-29,cpc,facebook_stories_campaign_3,27.06
fs3abab503,2026-05-30,shopping,facebook_stories_campaign_1,50.25
fs07bd5e3c,2026-05-30,display,facebook_stories_campaign_4,26.04
ffb4ef5724,2026-05-30,video,facebook_feed_campaign_2,48.67
fs0dfe22c9,2026-05-31,video,facebook_stories_campaign_7,26.98
fff59e8db3,2026-05-31,video,facebook_feed_campaign_10,37.93
fvccf458b2,2026-05-31,shopping,facebook_video_campaign_10,54.66
fsc9e72601,2026-06-01,display,facebook_stories_campaign_9,30.03
fse6e6b396,2026-06-01,shopping,facebook_stories_campaign_7,28.03
fs1f6bff02,2026-06-01,social,facebook_stories_campaign_5,37.62
fvada99c36,2026-06-02,video,facebook_video_campaign_5,51.92
fv18b7b133,2026-06-02,video,facebook_video_campaign_2,48.65
fs828c2d72,2026-06-02,video,facebook_stories_campaign_3,48.05
fv6bd257de,2026-06-03,cpc,facebook_video_campaign_4,52.89
fs386eeea8,2026-06-03,shopping,facebook_stories_campaign_6,51.62
fve4216e34,2026-06-03,display,facebook_video_campaign_7,29.61
