ad_id,date,utm_medium,utm_campain,cost
gs2be59424,2026-05-03,social,google_search_campaign_6,50.35
gdb74814a1,2026-05-04,cpc,google_display_campaign_8,55.57
gsbdd1b3c5,2026-05-04,shopping,google_shopping_campaign_4,49.89
gd60dfff86,2026-05-04,social,google_display_campaign_2,56.97
gsbba352b2,2026-05-05,cpc,google_shopping_campaign_1,37.97
gsc7dc71a6,2026-05-05,social,google_shopping_campaign_9,42.87
gs10481db7,2026-05-05,display,google_shopping_campaign_10,61.85
gd71772991,2026-05-06,social,google_display_campaign_9,61.37
gs8d468a62,2026-05-06,cpc,google_shopping_campaign_1,57.2
gd9b08c33e,2026-05-06,video,google_display_campaign_3,54.04
gs750f4e08,2026-05-07,cpc,google_search_campaign_1,43.4
gd4b68a894,2026-05-07,social,google_display_campaign_6,41.7
gsdcca5986,2026-05-07,display,google_search_campaign_9,52.42
gsb17cd98b,2026-05-08,cpc,google_shopping_campaign_10,54.87
gd01780ced,2026-05-08,shopping,google_display_campaign_3,60.84
gdc521fa48,2026-05-08,display,google_display_campaign_10,55.66
gs740f859c,2026-05-09,social,google_shopping_campaign_4,63.69
gs705ccfe7,2026-05-09,social,google_search_campaign_9,43.8
gd11b8fa3f,2026-05-09,shopping,google_display_campaign_7,57.23
gs141cbb0b,2026-05-10,display,google_shopping_campaign_8,60.29
gs47dd3ba3,2026-05-10,social,google_shopping_campaign_5,42.46
gd61164a85,2026-05-10,social,google_display_campaign_6,49.51
gse73613de,2026-05-11,social,google_search_campaign_2,58.52
gsed3d4c05,2026-05-11,video,google_shopping_campaign_6,46.18
gs39f432a1,2026-05-11,shopping,google_shopping_campaign_8,40.25
gsa44131a6,2026-05-12,cpc,google_search_campaign_9,53.19
gs55c170a6,2026-05-12,social,google_shopping_campaign_2,64.78
gscfc24b5a,2026-05-12,cpc,google_search_campaign_9,41.55
gs3d92561d,2026-05-13,cpc,google_shopping_campaign_4,35.11
gs057bb3c2,2026-05-13,social,google_shopping_campaign_9,47.19
gd30604c75,2026-05-13,video,google_display_campaign_4,59.03
gs6187e8f5,2026-05-14,display,google_search_campaign_7,53.68
gd177f3f85,2026-05-14,social,google_display_campaign_10,53.7
gs4fc93533,2026-05-14,social,google_search_campaign_8,60.18
gd95e98eef,2026-05-15,shopping,google_display_campaign_7,36.32
gsa87824f3,2026-05-15,display,google_search_campaign_8,52.41
gsddce5fe3,2026-05-15,cpc,google_shopping_campaign_3,63.9
gs236b8752,2026-05-16,video,google_search_campaign_7,47.68
gs11906d7e,2026-05-16,video,google_search_campaign_4,63.21
gs945f8641,2026-05-16,display,google_search_campaign_5,50.96
gs72c1572d,2026-05-17,video,google_shopping_campaign_5,61.01
gda5e5bd3b,2026-05-17,shopping,google_display_campaign_6,62.51
gdaf45584b,2026-05-17,social,google_display_campaign_10,52.28
gsd30a2082,2026-05-18,display,google_search_campaign_2,47.91
gs435aea7d,2026-05-18,shopping,google_shopping_campaign_9,41.03
gs759c6e20,2026-05-18,cpc,google_shopping_campaign_3,42.63
gs6fad39f2,2026-05-19,shopping,google_shopping_campaign_1,54.1
gs9d539b25,2026-05-19,display,google_shopping_campaign_7,37.57
gsfd51e644,2026-05-19,cpc,google_shopping_campaign_1,51.64
gs00033f97,2026-05-20,display,google_shopping_campaign_7,64.66
gda514fc4b,2026-05-20,cpc,google_display_campaign_4,43.34
gs0ada53c0,2026-05-20,display,google_search_campaign_1,36.23
gd9888557d,2026-05-21,cpc,google_display_campaign_6,44.28
gsbf0f8dc1,2026-05-21,social,google_search_campaign_1,62.98
gd45556a06,2026-05-21,shopping,google_display_campaign_7,36.75
gdaeec3479,2026-05-22,social,google_display_campaign_9,52.95
gs3b60bb95,2026-05-22,cpc,google_shopping_campaign_5,38.94
gs7b424f81,2026-05-22,social,google_search_campaign_5,59.74
gda782a81c,2026-05-23,display,google_display_campaign_2,42.96
gdf3bcedad,2026-05-23,display,google_display_campaign_4,39.47
gsf52965cf,2026-05-23,display,google_search_campaign_3,61.31
gsd26e96e6,2026-05-24,video,google_shopping_campaign_1,54.69
gs382ef7e3,2026-05-24,social,google_search_campaign_8,36.07
gdf37e5322,2026-05-24,video,google_display_campaign_4,39.6
gd29a0c4b1,2026-05-25,display,google_display_campaign_9,62.82
gsc6e85aa6,2026-05-25,video,google_shopping_campaign_5,53.93
gsa7d90c15,2026-05-25,display,google_shopping_campaign_6,51.37
gsc0de88b4,2026-05-26,display,google_search_campaign_3,41.54
gsefab03c1,2026-05-26,shopping,google_search_campaign_9,39.61
gd12862f2a,2026-05-26,shopping,google_display_campaign_10,41.35
gdd392e604,2026-05-27,shopping,google_display_campaign_7,37.86
gsc8b19382,2026-05-27,display,google_shopping_campaign_6,51.35
gs9902a744,2026-05-27,social,google_shopping_campaign_7,55.61
gsb27a7ee4,2026-05-28,shopping,google_search_campaign_5,60.16
gs660813d5,2026-05-28,display,google_shopping_campaign_5,39.31
gs6c3ffae2,2026-05-28,video,google_shopping_campaign_3,47.56
gs78a0a228,2026-05-29,shopping,google_search_campaign_4,57.61
gd0d58342c,2026-05-29,display,google_display_campaign_1,62.0
gd7fdf042e,2026-05-29,display,google_display_campaign_10,49.77
gs9090e839,2026-05-30,social,google_shopping_campaign_6,60.27
gsdcf7f8f7,2026-05-30,social,google_shopping_campaign_7,61.51
gd3f6ed59e,2026-05-30,video,google_display_campaign_10,62.2
gsfef4e77c,2026-05-31,video,google_shopping_campaign_2,36.22
gs52a70a75,2026-05-31,social,google_shopping_campaign_10,64.12
gdc867120a,2026-05-31,social,google_display_campaign_7,44.55
gs417306ef,2026-06-01,social,google_shopping_campaign_2,62.99
gs73620c04,2026-06-01,display,google_search_campaign_3,63.52
gdfccc94c9,2026-06-01,social,google_display_campaign_5,49.05
gs92d3693c,2026-06-02,video,google_shopping_campaign_1,39.85
gsa3f528ce,2026-06-02,video,google_shopping_campaign_9,42.93
gsc2020311,2026-06-02,video,google_search_campaign_4,58.32
gs6661f2e8,2026-06-03,social,google_shopping_campaign_6,61.91
gs747984fb,2026-06-03,cpc,google_shopping_campaign_3,44.41
gd64b2b5d9,2026-06-03,display,google_display_campaign_9,52.59
